City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
333,waslala,13.2333,-85.3833,300.69,70,97,2.05,NI,1715305473
334,muslyumovo,55.3033,53.1947,274.53,69,23,6.5,RU,1715305473
335,tingi,-11.3,35.0333,290.23,85,93,1.73,TZ,1715305474
336,saint-philippe,-21.3585,55.7679,296.92,72,72,5.83,RE,1715305475
337,boundiali,9.5217,-6.4869,298.63,73,38,1.63,CI,1715305476
338,acapulco de juarez,16.8634,-99.8901,299.05,78,100,3.6,MX,1715305391
339,lobujya,27.95,86.8167,268.92,67,87,3.3,NP,1715305479
340,fort mcmurray,56.7268,-111.381,293.92,17,0,6.69,CA,1715305480
341,esmeralda,21.8525,-78.1169,299.33,75,73,3.45,CU,1715305481
342,san julian,21.0167,-102.1667,300.11,12,76,3.62,MX,1715305482
343,burao,9.5221,45.5336,297.85,62,5,2.58,SO,1715305483
344,illizi,26.4833,8.4667,293.04,28,0,1.68,DZ,1715305485
345,badeggi,9.05,6.15,302.44,63,100,2.09,NG,1715305486
346,lata,40.1629,-8.3327,288.19,68,37,0.21,PT,1715305487
347,kiunga,-6.1219,141.2906,298.83,97,97,1.1,PG,1715305488
348,tarko-sale,64.9225,77.785,274.89,98,100,10.41,RU,1715305489
349,kiruna,67.8557,20.2251,271.66,69,75,2.57,SE,1715305490
350,praya,14.9215,-23.5087,297.45,60,0,5.66,CV,1715305224
351,swan hill,-35.3378,143.5544,288.64,80,100,2.83,AU,1715305493
352,klyuchi,52.2667,79.1667,293.21,42,100,4.26,RU,1715305494
353,annaba,36.9,7.7667,286.13,94,20,1.54,DZ,1715305495
354,goba,7.0167,39.9833,281.58,87,90,2.53,ET,1715305496
355,vallenar,-28.5708,-70.7581,282.37,80,86,1.76,CL,1715305497
356,nyurba,63.2842,118.3319,273.66,43,100,3.95,RU,1715305498
357,kalmunai,7.4167,81.8167,300.86,81,100,1.95,LK,1715305500
358,hilo,19.7297,-155.09,299.0,81,75,5.14,US,1715305501
359,tralee,52.2704,-9.7026,282.61,89,97,2.25,IE,1715305502
360,alcains,39.9164,-7.4566,287.84,57,0,1.55,PT,1715305504
361,namtsy,62.7161,129.6658,275.62,48,100,3.97,RU,1715305505
362,hillsborough,37.5741,-122.3794,299.77,69,0,6.17,US,1715305507
363,sitka,57.0531,-135.33,284.09,82,100,10.8,US,1715305508
364,mandalgovi,45.7625,106.2708,278.7,31,0,12.64,MN,1715305509
365,ginir,7.1333,40.7,287.24,89,33,1.8,ET,1715305510
